integrand,action
\int_{0}^{1}\frac{2*x}{x}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\cos{x^2}+\cos{x^2}+2*x*x^2*{x^2}^{3}dx,0
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\cos{x+1}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\sin{x}+\cos{x}dx,0
\int_{0}^{1}\frac{x^2}{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}+{2*x}^{2}*{x^2}^{2}dx,0
\int_{0}^{1}\frac{x+1}{x}*\frac{x}{2*x}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}{x^2}^{2}*x^2+x+\tan{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}*\sqrt[2]{2*x}dx,0
\int_{0}^{1}\cos{2*x}dx,0
\int_{0}^{1}{2*x}^{3}+x+x+1+\sin{x+1}dx,0
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}\frac{x^2}{x}*x^2*2*x*\tan{2*x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\tan{2*x}+\sqrt[3]{x^2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\tan{x^2}*\sqrt[3]{x+1}dx,0
\int_{0}^{1}{2*x}^{4}+\sqrt[2]{2*x}*\frac{x+1}{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x}dx,0
\int_{0}^{1}\frac{x}{2*x}dx,0
\int_{0}^{1}\frac{x}{2*x}*\cos{x^2}dx,0
\int_{0}^{1}{2*x}^{3}+\tan{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x^2}dx,0
\int_{0}^{1}\sin{2*x}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}*\sqrt[3]{2*x}dx,0
\int_{0}^{1}\frac{x^2}{2*x}*2*x+x^2+\frac{x^2}{x}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x^2}+\frac{2*x}{x+1}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}x+1+x+{x^2}^{4}+{2*x}^{4}dx,0
\int_{0}^{1}\frac{x}{x^2}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}x+1*x^2+x+1+2*x+2*x+x*\sin{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x+1}*2*x*x+1+\frac{x}{x^2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\frac{x^2}{x+1}dx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}\frac{x^2}{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}x+x^2*\frac{x}{x+1}*\sqrt[2]{2*x}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}{2*x}^{2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}x+1*x+1*\cos{x^2}+\sqrt[3]{x}*\sin{2*x}dx,0
\int_{0}^{1}\frac{x+1}{2*x}*2*x+x*\frac{x+1}{x^2}*2*x*2*xdx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}{2*x}^{3}+\frac{x}{x^2}dx,0
\int_{0}^{1}{2*x}^{3}*{x^2}^{4}*\cos{x}dx,0
\int_{0}^{1}\sin{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}\cos{2*x}dx,0
\int_{0}^{1}\frac{x}{x+1}+{x}^{2}+\sin{x^2}*\sin{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x+1}*\sin{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}{x^2}^{3}+\sqrt[2]{x^2}dx,0
\int_{0}^{1}\frac{2*x}{2*x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\frac{x+1}{2*x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{x}+2*x*x+1*{2*x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}\tan{2*x}*\cos{2*x}dx,0
\int_{0}^{1}x*x^2*\cos{x+1}*\sqrt[2]{x^2}*x+1*2*xdx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\frac{x+1}{x^2}dx,0
\int_{0}^{1}2*x*2*x+\frac{x}{x+1}*{2*x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}\frac{x+1}{x^2}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}x+1*x+1*\tan{x^2}+\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}*\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x}*\sin{x^2}dx,0
\int_{0}^{1}{2*x}^{2}+\frac{2*x}{x^2}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\sin{x+1}+\sqrt[2]{x+1}*{2*x}^{4}dx,0
\int_{0}^{1}\frac{2*x}{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}\frac{x}{x}+2*x*x^2*\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x^2}*\frac{x+1}{x^2}*x^2+2*x*x^2+2*xdx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\frac{x^2}{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}*{x^2}^{3}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x^2}*\sqrt[2]{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x^2}+\sin{x^2}*x+xdx,0
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sin{x+1}+{x+1}^{2}dx,0
\int_{0}^{1}{x}^{4}+\sqrt[2]{x+1}+\frac{2*x}{2*x}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\sqrt[3]{x^2}*\sin{x}*{x}^{4}dx,0
\int_{0}^{1}\frac{x+1}{x+1}*\frac{x}{2*x}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\cos{2*x}*{x}^{3}*\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{x+1}{2*x}+\sqrt[2]{x^2}dx,0
\int_{0}^{1}{x^2}^{4}*\cos{x^2}+{x+1}^{3}dx,0
\int_{0}^{1}{x}^{2}*\sqrt[2]{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}{x+1}^{3}dx,0
\int_{0}^{1}\frac{x+1}{2*x}+\cos{2*x}*\tan{2*x}dx,0
\int_{0}^{1}\frac{x^2}{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\tan{x+1}dx,0
\int_{0}^{1}\sqrt[3]{x^2}*x^2+x*{x+1}^{4}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\frac{x^2}{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x^2}+\frac{2*x}{x+1}+\frac{x^2}{x^2}dx,0
\int_{0}^{1}\frac{x^2}{x+1}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}x^2*x^2+{x+1}^{2}*{2*x}^{4}dx,0
\int_{0}^{1}\sqrt[3]{x}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}x^2*x+2*x+x*\sin{x+1}dx,0
\int_{0}^{1}\frac{x^2}{x^2}dx,0
\int_{0}^{1}{2*x}^{2}+\cos{x^2}dx,0
\int_{0}^{1}\frac{x^2}{2*x}*\frac{2*x}{x^2}*{x}^{3}dx,0
\int_{0}^{1}{2*x}^{4}+{2*x}^{4}dx,0
\int_{0}^{1}\frac{2*x}{x}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x+1}dx,0
\int_{0}^{1}{x}^{4}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}{x+1}^{3}*\sqrt[3]{x+1}dx,0
\int_{0}^{1}\cos{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}*x^2+x+1*x+1*x^2+2*x*xdx,0
\int_{0}^{1}\sin{2*x}dx,0
\int_{0}^{1}\sin{x^2}+{x}^{3}*\tan{x+1}dx,0
\int_{0}^{1}\frac{x+1}{x+1}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}\sin{2*x}+\frac{2*x}{x^2}dx,0
\int_{0}^{1}{x}^{3}+\sqrt[2]{x+1}dx,0
\int_{0}^{1}{x}^{4}*\sqrt[3]{x}dx,0
\int_{0}^{1}\sin{2*x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\frac{x+1}{x+1}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\frac{x}{x^2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}+x+x*\tan{x+1}dx,0
\int_{0}^{1}{x}^{4}+\sin{x^2}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\sin{x^2}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}\frac{x+1}{x}+2*x*2*x*{x+1}^{3}dx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\frac{2*x}{x^2}dx,0
\int_{0}^{1}\sin{x}+x+1*x^2*x^2*x^2dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}\frac{x^2}{x^2}*2*x*2*x+\sqrt[2]{x+1}+\sqrt[2]{x^2}dx,0
\int_{0}^{1}2*x+x*2*x*x+1+\frac{x}{2*x}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x}*\tan{2*x}dx,0
\int_{0}^{1}{x^2}^{4}+\frac{x^2}{2*x}+\sin{x^2}dx,0
\int_{0}^{1}\frac{x+1}{2*x}dx,0
\int_{0}^{1}\sin{x}+\frac{x^2}{x^2}dx,0
\int_{0}^{1}\frac{2*x}{x^2}dx,0
\int_{0}^{1}\frac{x}{2*x}+\cos{2*x}dx,0
\int_{0}^{1}{x+1}^{2}dx,0
\int_{0}^{1}\frac{x^2}{x}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}\frac{x^2}{x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}{2*x}^{3}*{x^2}^{4}dx,0
\int_{0}^{1}\tan{x+1}dx,0
\int_{0}^{1}\sin{x^2}dx,0
\int_{0}^{1}\tan{x}+\sqrt[2]{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\frac{x^2}{x^2}+\sqrt[2]{x+1}+\sqrt[2]{x^2}*\frac{x}{x}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}\frac{x}{2*x}dx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}\sqrt[3]{2*x}+\sqrt[3]{x+1}*\frac{2*x}{2*x}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}\sqrt[2]{2*x}*2*x+x^2+\cos{x+1}dx,0
\int_{0}^{1}\sqrt[2]{2*x}*x^2*x^2+\sqrt[2]{x}dx,0
\int_{0}^{1}\sqrt[3]{2*x}*\sqrt[2]{x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}{x^2}^{2}+\sqrt[2]{2*x}*\frac{x}{x}dx,0
\int_{0}^{1}\frac{x+1}{2*x}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\cos{x+1}+\sqrt[3]{x}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}\frac{x^2}{x^2}*\frac{x+1}{2*x}dx,0
\int_{0}^{1}{2*x}^{3}*\sqrt[3]{x}*\frac{2*x}{x+1}dx,0
\int_{0}^{1}\sin{x^2}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\tan{x+1}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}\frac{2*x}{x^2}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}{x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{x+1}*{2*x}^{2}*\sin{x+1}dx,0
\int_{0}^{1}\frac{x^2}{2*x}*{x^2}^{2}*{x}^{2}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}\frac{2*x}{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x^2}*\cos{2*x}dx,0
\int_{0}^{1}{x}^{3}*2*x+x+{2*x}^{4}dx,0
\int_{0}^{1}\frac{x}{2*x}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}\frac{2*x}{2*x}+\sqrt[3]{2*x}+\tan{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}{x+1}^{2}dx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}{x^2}^{4}*x+1*x+1*{2*x}^{4}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}\frac{x+1}{x+1}dx,0
\int_{0}^{1}{x+1}^{2}*{2*x}^{2}dx,0
\int_{0}^{1}\frac{2*x}{x}+\cos{x}*\sqrt[3]{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}\sqrt[3]{x+1}*x+1*x^2*x+1*x+1dx,0
\int_{0}^{1}{x}^{4}+\frac{x}{x+1}*x+x+1+x+1*x+1dx,0
\int_{0}^{1}{x+1}^{2}dx,0
\int_{0}^{1}\frac{x+1}{x^2}dx,0
\int_{0}^{1}\frac{x^2}{x+1}*{x}^{4}dx,0
\int_{0}^{1}\frac{x}{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x+1}+\sin{x+1}+\sqrt[3]{x}dx,0
\int_{0}^{1}{2*x}^{2}dx,0
\int_{0}^{1}\sin{2*x}dx,0
\int_{0}^{1}\sin{x}+\sin{2*x}+\sqrt[2]{2*x}dx,0
\int_{0}^{1}\frac{x}{x}*{x}^{4}+{x+1}^{4}+\sin{x}dx,0
\int_{0}^{1}{2*x}^{3}*\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sin{2*x}*\frac{x^2}{2*x}+{2*x}^{4}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}{x^2}^{2}+\cos{x+1}*{x+1}^{3}dx,0
\int_{0}^{1}\frac{x}{2*x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}\frac{2*x}{2*x}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\sqrt[2]{x^2}*\frac{x+1}{2*x}*\sqrt[2]{x^2}dx,0
\int_{0}^{1}{x+1}^{2}dx,0
\int_{0}^{1}\sqrt[3]{x+1}*{x+1}^{2}+x^2+x+1dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}{2*x}^{2}*\tan{x}*\sqrt[3]{2*x}dx,0
\int_{0}^{1}{x^2}^{2}+x*x+1+\cos{2*x}dx,0
\int_{0}^{1}{2*x}^{4}+\frac{x+1}{x^2}dx,0
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}{x+1}^{2}dx,0
\int_{0}^{1}{x+1}^{2}dx,0
\int_{0}^{1}\frac{x+1}{x+1}*{x+1}^{3}*\cos{x+1}dx,0
\int_{0}^{1}\sqrt[3]{x^2}+\sqrt[3]{2*x}*\frac{x+1}{x^2}dx,0
\int_{0}^{1}\frac{2*x}{x^2}*\sin{x+1}dx,0
\int_{0}^{1}{x}^{3}dx,0
\int_{0}^{1}\sin{x}*\cos{x+1}*2*x+xdx,0
\int_{0}^{1}\frac{2*x}{x+1}+\frac{x+1}{2*x}dx,0
\int_{0}^{1}\frac{x^2}{x+1}dx,0
\int_{0}^{1}\sqrt[3]{2*x}+\frac{x+1}{x+1}dx,0
\int_{0}^{1}\sin{x+1}+\tan{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\cos{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}\sin{x+1}dx,0
